agent_name,agent_url,emails,phones,logo_url,logo_path,source,last_updated
www.StudyAbroad.sg,http://www.StudyAbroad.sg,,+65) 6737 6734,https://www.studyabroad.sg/site/wp-content/uploads/jack-studyabroad-logo2.gif,logos\9e2f565034.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.OverseasEducation.sg,http://www.OverseasEducation.sg,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.britisheducation.com.tr,http://www.britisheducation.com.tr,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.iqeducationconsultants.com,https://iqeducationconsultants.com,dubai@iqeducationconsultants.com,+971 4259 4478; +971 552167587; +971 552167591; +971 552167596; +971 4 259 4487; +971 552167597,https://iqeducationconsultants.com/wp-content/uploads/2024/09/image_2024_09_19T10_08_30_078Z.png#1220,logos\419d7857b2.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.logos-education.com/ua,http://www.logos-education.com/ua,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.cambridgeeducationgroup.com,https://www.cambridgeeducationgroup.com/home.htm,,+44 1223 346180; 06020370,https://www.cambridgeeducationgroup.com/wp-content/uploads/2024/07/compressed-cropped-CEG_Logo_DarkGrey_CMYK-1.png,logos\5d812150b6.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.jteducation.com,http://www.jteducation.com,uk@jteducation.com,2018-08-31; 2018-07-15; 86648642; 2016-2024; 2018-08-12; 2018-07-09; 2021-03-31; 2018-09-20; 2016-2026; 2022-03-31; 2018-09-05; 2016-2023,http://www.jteducation.com/template/default/images/logo.png,logos\2d5c5d05db.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studywithfm.com,https://www.studywithfm.com/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study,https://www.hud.ac.uk/study/,webteam@hud.ac.uk,+44 (0)1484 422288; 0330 1232288; 516 3101 90,https://www.hud.ac.uk/media/assets/photo/universitycampus/Campus_header_shot.jpg,logos\0a3dac2314.jpg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
International,https://www.hud.ac.uk/international/,webteam@hud.ac.uk,+44 (0)1484 422288; 0330 1232288; 516 3101 90,https://www.hud.ac.uk/media/assets/photo/international/Landingpage-International.jpg,logos\8189ecf686.jpg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
The British Universities' International Liaison Association,https://www.buila.ac.uk/,,,,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
Universities UK International,https://www.universitiesuk.ac.uk/universities-uk-international,,,,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
The UK Council for International Student Affairs,https://www.ukcisa.org.uk/,,,https://www.ukcisa.org.uk/media/5nymrykb/chad-madden-btfza0m0hce-unsplash.jpg?width=1200&height=900&v=1dafac2257e8920,logos\a87ce60c79.jpg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
Student Guide to Choosing an Education Agent,https://study-uk.shorthandstories.com/study-uk-a-student-guide-to-choosing-an-education-agent/index.html,,,https://study-uk.shorthandstories.com/study-uk-a-student-guide-to-choosing-an-education-agent/assets/fcjR9VXNzR/education-agent-1795x884.jpg,logos\4f775d835a.jpg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
British Council approved UK agent list,https://www.britishcouncil.org/education/agents-counsellors/database,,,,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
AA Unilink Education Services Ltd,https://www.unilink.com.cy/,Cyprus@unilink.com.cy,357 25 38 80 11,https://www.unilink.com.cy/wp-content/uploads/2022/09/cropped-unilink-logo-2-2-82x82.png,logos\cfcf5e0d3a.png,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
AA Unilink Education Services Ltd Lagos,http://unilinksconsultants.com/,info@unilinkconsultants.com,6690 8888; 040-6690 8888; +91 9490210786,,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
AAS Education Consultancy,https://aaseducation.co.uk/en/,,+44 74708 36344; 2026-02-23,,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
Abacus Overseas Education Advisors,https://abacuseducation.ca/,info@abacuseducation.ca,040 4089 2525; 040 4089 2626; +918099928038; +91 8099928038,https://abacuseducation.ai/wp-content/uploads/2025/11/Logo-1-1.jpg,,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
ABN Overseas Education,https://www.abneducation.com/,info@abneducation.com; feedback@abneducation.com,+92 309 3333800,https://cdn-ikpmhhd.nitrocdn.com/GVgwNLTsUYcvEGzvuARCzgtxWUPijrCi/assets/images/optimized/rev-fec3c07/www.abneducation.com/wp-content/uploads/2023/02/cropped-cropped-ABN-LOGO-2022-02.jpg,logos\dcef51033d.jpg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
Across The Pond Study In Britain,https://www.studyacrossthepond.com,,,https://www.studyacrossthepond.com/sites/default/files/highres-atp-logo.webp,logos\ad0b3942d7.webp,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
AECC Australian Education Victoria,https://www.aeccglobal.com,,2024 2025 2026 2027 2028; +880 13 228 67741,https://www.aeccglobal.com/aecc_logo.svg,logos\aea64e1b7a.svg,https://www.hud.ac.uk/international/applying-to-the-university/approved-education-agents/,2026-06-02
Study,https://www.aru.ac.uk/study,answers@aru.ac.uk,01245 686868; +44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
Study skills,https://www.aru.ac.uk/student-life/support-and-facilities/study-skills,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
Courses for international students,https://www.aru.ac.uk/international/courses,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
Opportunities for visiting international students,https://www.aru.ac.uk/international/incoming-international-students,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
International student support,https://www.aru.ac.uk/international/student-support,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
Contact the International Office,https://www.aru.ac.uk/international/contact-us,salvatore.genovesi@aru.ac.uk; bethan.howe@aru.ac.uk; gbosibo-titilayo.gbemisola@aru.ac.uk; hussnain.afzaal@aru.ac.uk; nana.adom@aru.ac.uk; linda.ayodele@aru.ac.uk; jing.jin@aru.ac.uk; international@aru.ac.uk; india@aru.ac.uk; pakistan@aru.ac.uk; usama.saleem@aru.ac.uk; austin.brown@aru.ac.uk,+44 (0) 7990 643782; +234 (0) 9091316683; +44 1245 683680; +44(0)7860411657; +44 (0) 7595414401; +44 7788396019; +234 (0) 8079779768; +44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
International Orientation Programme,https://www.aru.ac.uk/international/planning-your-travel/international-orientation-programme,internationalarrivals@aru.ac.uk,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
International,https://www.aru.ac.uk/international,international@aru.ac.uk,+44 (0)1245 493131; +44 1245 683680,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
"Arts, Humanities, Education and Social Sciences",https://www.aru.ac.uk/arts-humanities-education-and-social-sciences,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
International Policing and Public Protection Research Institute,https://www.aru.ac.uk/international-policing-and-public-protection-research-institute,,+44 (0)1245 493131,,,https://www.aru.ac.uk/international/information-by-world-region,2026-06-02
Study in Dudley,https://www.worcester.ac.uk/study/study-in-dudley/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Travelling to Dudley Higher Education and Skills Centre,https://www.worcester.ac.uk/study/study-in-dudley/travelling-to-dudley-higher-education-and-skills-centre.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
How to apply to study at Worcester,https://www.worcester.ac.uk/study/find-a-course/how-to-apply/,admissions@worc.ac.uk,01905 855111; 01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International applications,https://www.worcester.ac.uk/study/find-a-course/how-to-apply/international-applications.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International,https://www.worcester.ac.uk/study/International/,international@worc.ac.uk,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International Applicants,https://www.worcester.ac.uk/study/International/international-applicants/,international@worc.ac.uk,01905 855 000; +44 (0)1905 542640,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Preparing to study at Worcester,https://www.worcester.ac.uk/study/International/preparing-to-study-at-worcester/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Working while you study,https://www.worcester.ac.uk/study/International/preparing-to-study-at-worcester/working-while-you-study.aspx,international@worc.ac.uk,01905 855 000; +44 (0)1905 542640,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International student support,https://www.worcester.ac.uk/study/International/international-student-support.aspx,international-experience@worc.ac.uk,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study abroad,https://www.worcester.ac.uk/study/International/study-abroad/,Studyabroad@worc.ac.uk,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study abroad - incoming students,https://www.worcester.ac.uk/study/International/study-abroad/study-abroad-incoming-students.aspx,Studyabroad@worc.ac.uk,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study Abroad - Outgoing Students,https://www.worcester.ac.uk/study/International/study-abroad/study-abroad-outgoing-students/,isa@worc.ac.uk; international-experience@worc.ac.uk; Studyabroad@worc.ac.uk,+44 (0)1905 855146; 01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Meet the international team,https://www.worcester.ac.uk/study/International/meet-the-international-team.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Teaching and Education,https://www.worcester.ac.uk/study/professional-development/education.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study support,https://www.worcester.ac.uk/life/help-and-support/services-for-students/study-support.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study well,https://www.worcester.ac.uk/life/help-and-support/health-and-wellbeing/study-well.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Prepare for study,https://www.worcester.ac.uk/life/prepare-for-study/,admissions@worc.ac.uk,01905 855 111; 01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Preparing for University Study,http://studyskills.wp.worc.ac.uk/index.php/starting-at-university/,,,https://studyskills.wp.worc.ac.uk/wp-content/uploads/2024/07/uow-shield-logo-white-web-e1720609034886.png,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Returning to Study,https://www.worcester.ac.uk/life/prepare-for-study/welcome-to-worcester/returning-to-study.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Studying as a commuter student,https://www.worcester.ac.uk/life/prepare-for-study/Commuter-students/Studying-as-a-commuter-student.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Flexible and part-time study,https://www.worcester.ac.uk/life/prepare-for-study/flexible-and-part-time-study.aspx,admissions@worc.ac.uk,01905 855111; 01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study-life balance,https://www.worcester.ac.uk/life/prepare-for-study/study-life-balance.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Planning your study week,https://www.worcester.ac.uk/life/prepare-for-study/planning-your-study-week/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Health Practice Education,https://www.worcester.ac.uk/about/academic-schools/school-of-health-and-wellbeing/health-practice-education/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Criminology,https://www.worcester.ac.uk/campaigns/study-criminology,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Psychology,https://www.worc.ac.uk/campaigns/study-psychology,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Health and Wellbeing,https://www.worc.ac.uk/campaigns/study-health-wellbeing,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Physiotherapy and Occupational Therapy,https://www.worc.ac.uk/campaigns/study-physiotherapy-occupational-therapy,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Paramedic Science,https://www.worc.ac.uk/campaigns/study-paramedic-science,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Social Work & Community,https://www.worc.ac.uk/campaigns/study-social-work-community,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Institute of Education,https://www.worcester.ac.uk/about/academic-schools/school-of-education/,education@worc.ac.uk,01905 855 000; 01905 855 231,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Education staff profiles,https://www.worcester.ac.uk/about/academic-schools/school-of-education/education-staff-profiles.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Undergraduate Education courses,https://www.worc.ac.uk/study/find-a-course/?level=52&institute=64,,01905 855 000,https://www.worc.ac.uk/site-elements/images/logo.svg,logos\ab4b421111.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Education research,https://www.worcester.ac.uk/about/academic-schools/school-of-education/education-research/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Postgraduate Education courses,https://www.worc.ac.uk/study/find-a-course/home.aspx?level=53&institute=64&term=,,01905 855 000,https://www.worc.ac.uk/site-elements/images/logo.svg,logos\ab4b421111.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
School of Education partnerships,https://www.worcester.ac.uk/about/academic-schools/school-of-education/school-partnerships/,,01905 855 000; 01905 855071; 01905 855070; 01905 855044,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Children and Families,https://www.worc.ac.uk/campaigns/study-children-families,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Education and Inclusion,https://www.worc.ac.uk/campaigns/study-education-inclusion,,,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Art and Design,https://www.worc.ac.uk/campaigns/study-arts-design,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Drama and Performance,https://www.worc.ac.uk/campaigns/study-drama-performance,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
"Study English, Media and Creative Writing",https://www.worcester.ac.uk/campaigns/study-english-media-creative-writing,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study Undergraduate Film and Screenwriting,https://www.worc.ac.uk/campaigns/study-film-screenwriting,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
"Study Undergraduate History, Politics and Sociology",https://www.worc.ac.uk/campaigns/study-history-politics-sociology,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Journalism and Digital Media,https://www.worc.ac.uk/campaigns/journalism-digital-media,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Law,https://www.worcester.ac.uk/campaigns/study-law,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
"Study Undergraduate Law, Criminology and Policing",https://www.worc.ac.uk/campaigns/study-law-criminology-policing,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study Midwifery,https://www.worc.ac.uk/campaigns/study-midwifery,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Biological and Forensic Science,https://www.worc.ac.uk/campaigns/study-biological-forensic-science,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Geography and the Environment,https://www.worc.ac.uk/campaigns/study-geography-environment,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Medical Sciences,https://www.worc.ac.uk/campaigns/study-medical-sciences,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International Basketball Camp,https://www.worcester.ac.uk/about/academic-schools/school-of-sport-and-exercise-science/international-basketball-camp.aspx,worcesterwolves@worc.ac.uk,01905 54 4444; 01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Sport,https://www.worcester.ac.uk/campaigns/study-sport,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study Undergraduate Sports Therapy,https://www.worc.ac.uk/campaigns/study-sports-therapy,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
International students,https://www.worcester.ac.uk/about/academic-schools/worcester-business-school/international-students-at-wbs.aspx,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
"Study undergraduate Business, Accounting and Marketing",https://www.worc.ac.uk/campaigns/study-business-accounting-marketing,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Study undergraduate Computing,https://www.worc.ac.uk/campaigns/study-computing,,01905 855 000,,,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
Education blogs,https://www.worcester.ac.uk/about/news/academic-blog/education-blogs/,,01905 855 000,https://www.worcester.ac.uk/site-elements/images/logo.svg,logos\8e76622ec5.svg,https://www.worcester.ac.uk/study/International/local-representatives-near-you.aspx,2026-06-02
