country,agency_name
Pakistan,StudyIn-AUS Consulting Pvt Ltd
Pakistan,Study Mentor Pakistan Education Ltd
Pakistan,Success Factor
Pakistan,Times Consultant
Pakistan,UKEC
Pakistan,Upskill Education Consultants
Pakistan,VICPAK Consultancy Services
Pakistan,Zarnab International
Panama,Academic Action
Panama,Inova Education
Panama,LAE International Education
Panama,The U For You (U4U)
Paraguay,Academic Action
Paraguay,Inova Education
Paraguay,LAE International Education
Peru,Academic Action
Peru,Global Admission Center
Peru,Inova Education
Peru,LAE International Education
Peru,Studies Planet
Peru,Volemi SAS
Philippines,AECC Global
Philippines,AUG Student Services
Philippines,IDP UK aka IDP/ Hotcourses
Philippines,StudyCo
Philippines,StudyIn
Poland,Baltic Council
Poland,Bellnor
Poland,Dream Foundation
Poland,Smart Prospects
Poland,StudyIn
Portugal,Information Planet Pty Ltd
Portugal,OK Estudante
Portugal,Study Wing
Qatar,Education Basket
Qatar,Qobolak
Qatar,StudyIn
Romania,Educativa Group
Romania,Informed Education
Romania,Integral
Romania,Student Consulting
Romania,Study Abroad Advising Centre
Russia,First EDUMATE
Russia,ITEC
Rwanda,UNISERV
Saint Kitts and Nevis,Beach Education LTD
Saint Lucia,Beach Education LTD
Saint Vincent and the Grenadines,Beach Education LTD
Saudi Arabia,A+ Study Abroad
Saudi Arabia,Bridge International/Global Vision for Academic Services
Saudi Arabia,EduGlobe
Saudi Arabia,Edvoy (IEC Abroad)
Saudi Arabia,First EDUMATE
Saudi Arabia,IDE Education
Saudi Arabia,IDP UK aka IDP/ Hotcourses
Saudi Arabia,IGEC
Saudi Arabia,Knowledge Well
Saudi Arabia,Qobolak
Saudi Arabia,StudyCo
Saudi Arabia,StudyIn
Saudi Arabia,Studywise Abroad
Saudi Arabia,UKUNI
Serbia,Integral
Singapore,AECC Global
Singapore,AHZ Associates
Singapore,AUG Student Services
Singapore,Cialfo PTE LTD
Singapore,IDP UK aka IDP/ Hotcourses
Singapore,Jack Study Abroad
Singapore,Overseas Education SG PTE LTD
Singapore,StudyCo
Singapore,TheRightU
Slovakia,Information Planet Pty Ltd
Slovakia,Study Abroad Advising Centre
Slovenia,Integral
South Korea,EDM Education Seoul
South Korea,Global Education Centre
South Korea,IDP UK aka IDP/ Hotcourses
South Korea,UK Education Centre
South Korea,UKEN
South Korea,UPSEE
Spain,Academic Action
Spain,IEC (International Educational Consultants)
Spain,LAE International Education
Spain,OK Estudante
Spain,Studies Planet
Spain,Study Abroad Advising Centre
Sri Lanka,ABEC Premier
Sri Lanka,AECC Global
Sri Lanka,AHZ Associates
Sri Lanka,ApplyBoard
Sri Lanka,Crizac
Sri Lanka,IDP UK aka IDP/ Hotcourses
Sri Lanka,Overseas Education Centre (OEC)
Sri Lanka,StudyCo
Sri Lanka,StudyIn
Sweden,STUDIN Study International
Syria,Bridge International/Global Vision for Academic Services
Taiwan,Academic Excellence Intl
Taiwan,EDM Education Seoul
Taiwan,Educom International Ltd.
Taiwan,Global Education Alliance (GEA)
Taiwan,Gostudy Education Institute
Taiwan,IDP UK aka IDP/ Hotcourses
Taiwan,Jason International Education Services
Taiwan,OHStudy
Taiwan,Oxbridge Consulting
Taiwan,Spruce Education Consultancy
Taiwan,StudyIn
Taiwan,Westminster International
Tajikistan,Human Capital Foundation Worldwide Education
Tanzania,Crizac
Tanzania,StudyIn
Tanzania,UNISERV
Thailand,Advance Education Gateway
Thailand,AECC Global
Thailand,Assumption University of Thailand
Thailand,BRIT-Education UK
Thailand,Crizac
Thailand,"Education For Life Co.,Ltd."
Thailand,Edvoy (IEC Abroad)
Thailand,Gouni
Thailand,Hands On
Thailand,IDP UK aka IDP/ Hotcourses
Thailand,Mango Learning
Thailand,One Education
Thailand,StudyIn
Thailand,The Mastery
Thailand,Westminster International
The Bahamas,Beach Education LTD
Trinidad and Tobago,Beach Education LTD
Türkiye,Academix Study Abroad Services
Türkiye,Alpha Coaching and Consulting
Türkiye,ApplyBoard
Türkiye,ATEC
Türkiye,Atlas
Türkiye,British Education Bureau
Türkiye,British Side
Türkiye,Crizac
Türkiye,Edcon
Türkiye,Edukas
Türkiye,Eduworld Edu Services
Türkiye,Egitimal Education Counseling Service
Türkiye,First EDUMATE
Türkiye,FutureMe Consultant FZCO
Türkiye,IDP UK aka IDP/ Hotcourses
Türkiye,Myeducoach
Türkiye,Onedu Yurtdisi Egitim Danismanligi Limited Sirketi
Türkiye,StudyIn
Türkiye,Time Academy Limited
Turks and Caicos Islands,Beach Education LTD
Uganda,Crizac
Uganda,StudyIn
Uganda,UNISERV
UK,AA UNIlink Edu Services Ltd
UK,Academic Powerhouse
UK,AHZ Associates
UK,Amber Education
UK,BCIE (British Canadian International Education)
UK,Beijing New Oriental Vision Overseas Cons. Co. Ltd
UK,beo Tokyo
UK,Bridge International/Global Vision for Academic Services
UK,BridgeU Limited
UK,British English School HP & KP LTD.
UK,British University Placements
UK,Crizac
UK,CES Bureau of Counselling in Education & Services
UK,Derek Guimond
UK,Edcon
UK,Edlogica
UK,Educom International Ltd.
UK,Edukas
UK,Edvoy (IEC Abroad)
UK,EF Education First
UK,EIC
UK,First EDUMATE
UK,Gesco Amman
UK,Global Study UK
UK,Glory Education Services Ltd
UK,HR Consultants (Pvt) Ltd
UK,IDP UK aka IDP/ Hotcourses
UK,Index
UK,Inova Education
UK,INTO
UK,ITFG Global Visa Consultancy
UK,JT Education
UK,Kaplan International Colleges University Placement Service
UK,Klensein
UK,NCUK
UK,Qobolak
UK,Studies Planet
UK,StudyIn
UK,Talib Consultancy Limited [TCL Global]
UK,The Broad Club
UK,The Student Sport Company
UK,TopCourses
UK,UKEC (Xinlung Group Ltd)
UK,Unifrog
UK,UNISERV
UK,Uoffer Global
UK,Vantage Basketball
UK,Westminster International
Ukraine,Azeri Student
Ukraine,Business Link
Ukraine,Eduinternational
Ukraine,StudyIn
United Arab Emirates,Azent Overseas Education
United Arab Emirates,Edlogica
United Arab Emirates,Education Resources Network
United Arab Emirates,Education Zone (Edu Zone)
United Arab Emirates,Educom International Ltd.
United Arab Emirates,Future Bridge Education and Training
United Arab Emirates,Glinks International Education Support Services LLC
United Arab Emirates,Global Study UK
United Arab Emirates,GroupL FZE
United Arab Emirates,HR Consultants (Pvt) Ltd
United Arab Emirates,iBridge FZ-LLC
United Arab Emirates,IDP UK aka IDP/ Hotcourses
United Arab Emirates,IGEC
United Arab Emirates,IPC (Dubai)
United Arab Emirates,JNS Education Consultant LTD
United Arab Emirates,Overseas Education Centre (OEC)
United Arab Emirates,Powerhouse Global Servicez LLC
United Arab Emirates,StudyCo
United Arab Emirates,StudyIn
United Arab Emirates,UNI Student Universities Entrance Services
United Arab Emirates,UniPartner
United Arab Emirates,Univer International LLC
United States of America,Bring It Promotions LLC
United States of America,Derek Guimond
United States of America,Dinda Sports Management
United States of America,Play Overseas
United States of America,Scorers 1st Sports Management
United States of America,SML Sports
United States of America,Student Athlete Network
United States of America,StudyCo
United States of America,Team Gleas
United States of America,US Sports Scholarships Ltd
Uruguay,Academic Action
Uruguay,Inova Education
Uruguay,LAE International Education
Uzbekistan,Human Capital Foundation Worldwide Education
Uzbekistan,StudyIn
Uzbekistan,UCAN Consulting
Uzbekistan,Universe Group
Venezuela,Academic Action
Venezuela,LAE International Education
Vietnam,AECC Global
Vietnam,Crizac
Vietnam,Global Education Alliance (GEA)
Vietnam,GSE
Vietnam,Hands On
Vietnam,IDP UK aka IDP/ Hotcourses
Vietnam,INDEC
Vietnam,ISC Education
Vietnam,Jack Study Abroad
Vietnam,StudyIn
Vietnam,Vietint
