no,agent_name,url,found,status
111,IGEC,https://www.igec.com,0,no_data
112,INDEC,https://indec.com,0,no_data
113,INTI Universal Holdings Sdn Bhd,https://www.inti.edu.my,0,no_data
114,INTO,https://www.into.co.uk,0,no_data
115,INTO (PP),www.intoglobal.com,12,success
116,IPC,https://www.ipc.com,140,success
117,IPC - International Placewell Consultants Pvt Ltd,https://www.ipcglobal.co.in,0,no_data
118,IPC Dubai,www.unidirection.com,0,no_data
119,IPC India,www.educationoverseas.com/index.php,0,no_data
120,IQ Education Consultants,www.iqeducationconsultants.com,0,no_data
121,ISC Education,https://www.isceducation.com,17,success
122,ITEC,https://itec.com,66,success
123,Index,https://index.com,0,no_data
124,Index Education,www.soweredu.com,96,success
125,Indigo Consultancy,https://www.indigoconsultancy.com,17,success
126,Infinite Group,https://www.infinitegroup.com,0,no_data
127,Information Planet Pty Ltd,https://www.informationplanet.com.au,0,no_data
128,Informed Education,https://www.informededucation.com,0,no_data
129,Inova Education,www.inovaeducation.com,17,success
130,Integral,https://www.integral.com,30,success
131,Integral Educational Programs Ltd (IEP),www.integral.bg,241,success
132,InterGreat Education Group Ltd,https://www.intergreateducation.com,0,no_data
133,International Learning Center,https://www.internationallearningcenter.com,17,success
134,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,0,no_data
135,JACK Study Abroad Singapore,www.StudyAbroad.sg,49,success
136,JJL Overseas Education,www.jjl.cn,185,success
137,JM Education Group,https://www.jmeducationgroup.com,0,no_data
138,JT Education,www.jteducation.com,0,no_data
139,JT Education Limited,www.jteducation.com,0,no_data
140,Jack Study Abroad,https://www.jackstudyabroad.com.au,72,success
141,KC Overseas Education,https://kcoverseaseducation.com,0,no_data
142,KC Overseas Education Private Limited,www.studies-overseas.com,0,no_data
143,KC Overseas Education Pvt. Ltd.,https://www.kcoverseas.com,0,no_data
144,Kaju,www.kjclassic.com,0,no_data
145,Kalba,https://kalba.lt/en/,0,no_data
146,LAE,https://www.lae.com,3,success
147,LCI Group (Liu Cheng International Group Ltd),https://www.lcieducation.com,0,no_data
148,LEO Global Overseas,https://www.leoglobaloverseas.com,119,success
149,Leap GeeBee Edtech Pvt. Ltd,https://www.geebee.com,0,no_data
150,Let's Talk,www.letstalkedu.in,32,success
151,Leverage EDU,https://www.leverageedu.com,132,success
152,LinkedU,www.linkedu.hk,0,no_data
153,Logos,www.logos-education.com/ua,30,success
154,Love UK,https://www.loveuk.com,0,no_data
155,LoveEDU (loveUK Brazil),www.loveedu.com.br,0,no_data
156,LoveUK Mexico,www.loveuk.com.mx,0,no_data
157,MA Consultants,https://www.maconsultants.com,17,success
158,MAS Education,https://www.maseducation.com,17,success
159,MEC Study Group,https://www.mecstudygroup.com,734,success
160,MIM Study Abroad,https://www.mimstudyabroad.com,36,success
161,Mabecs,https://www.mabecs.com,0,no_data
162,Maces,https://www.maces.com,0,no_data
163,Malaysian British Educational Cooperation Services (MABECS),www.mabecs.com,0,no_data
164,Meridean Overseas,www.meridean.org,82,success
165,Myeducoach,https://www.myeducoach.com,108,success
166,NCUK,https://www.ncuk.com,27,success
167,Oberoi's Education,www.educationlinkhouse.com,47,success
168,One Education,https://www.oneeducation.com,0,no_data
169,Overseas Education,www.OverseasEducation.sg,0,no_data
170,OxBridge Holdings Inc.,https://www.oxbridge.cn,0,no_data
171,Oxbridge,www.oxbridge.com.tw,83,success
172,Oxbridge (Power Academy),www.poweracademy.cn,8,success
173,Oxbridge Consulting,https://www.oxbridgeconsulting.com,17,success
174,People Loving Education (UKARTSUHAK),www.peopleloving.co.kr,148,success
175,Plus Education,www.plusedu.com.tr,41,success
176,QS Student Apply,www.qs.com,5,success
177,QS StudentApply,https://www.qs.com,5,success
178,Qobolak,https://www.qobolak.com,0,no_data
179,Ray Education,https://www.rayeducation.com,17,success
180,Reach the Globe,https://www.reachtheglobe.com,0,no_data
181,SI - UK,www.studyin-uk.com,0,no_data
182,SI-UK,www.studyin-uk.com,0,no_data
183,SMILE Education,www.smilecampus.com,57,success
184,SML Sports,https://smlsports.com,0,no_data
185,SUN Education Group,www.suneducationgroup.com,25,success
186,Santamonica,www.santamonicaedu.in,0,no_data
187,Savvides Institute,https://www.savvides.com.cy,60,success
188,Shiksha,www.shiksha.com,0,no_data
189,Shinyway,www.igo.cn,0,no_data
190,Springboard4Education,https://www.springboard4education.com,66,success
191,Stayline Sports,https://www.staylinesports.com,0,no_data
192,Student Consulting,https://www.studentconsulting.com,0,no_data
193,Studies Planet,www.studiesplanet.com,337,success
194,Studies Planet,www.studiesplanet.com,337,success
195,Study Advisory Services LTD,https://www.studyadvisoryservices.com,22,success
196,Study Experience,https://www.studyexperience.com,0,no_data
197,Study Net,www.studynet-group.com,76,success
198,Study Plan,www.studyplan.lt/en,54,success
199,Study with FM,www.studywithfm.com,0,no_data
200,StudyCo,https://www.studyco.com,0,no_data
201,StudyIn,https://www.studyin.com,41,success
202,Studyportals,https://www.studyportals.com,0,no_data
203,Studywise Abroad,https://www.studywiseabroad.com,39,success
204,Success Factor,www.successfactor.org,0,no_data
205,Taylor's Malaysia Sdn Bhd,www.taylors.edu.my,23,success
206,Team Gleas,https://www.teamgleas.com,0,no_data
207,TedVisory (Previously GEN),www.tedvisory.com,34,success
208,The Broad Club,https://www.thebroadclub.com,0,no_data
209,The Combine Company,www.combineco.com,130,success
210,The English Company,https://www.theenglishcompany.com,17,success
211,The Mastery,https://www.themastery.com,2,success
212,The RightU,www.therightu.com,20,success
213,The Student World,https://www.thestudentworld.com,0,no_data
214,TheRightU,https://www.therightu.com,20,success
215,Thymes International,https://www.thymesinternational.com,0,no_data
216,Tie Break,https://www.tiebreak.com,79,success
217,Times Consultant,https://www.timesconsultant.com,0,no_data
218,TopCourses,https://www.topcourses.co.uk,0,no_data
219,Tutor You,https://www.tutoryou.com,48,success
220,UCAN Consulting,https://www.ucanconsulting.com,12,success
221,UKEC,www.ukec.com,0,no_data
222,UKEC - United Kingdom Education Centre,www.uk-education-centre.com,0,no_data
223,UKEN,https://www.uken.com,18,success
224,UNISERV,https://www.uniserv.com,44,success
225,US Sports Scholarships Ltd,https://www.ussportsscholarships.com,20,success
226,UVIC,www.uvic.co.uk,0,no_data
227,Uni-UK,www.uni-uk.com,0,no_data
228,UniPal,https://www.unipal.com,0,no_data
229,UniPartner,https://www.unipartner.com,0,no_data
230,Unilink,https://www.unilink.com,201,success
231,Uniserv Education,https://www.uniserv.co.ke,0,no_data
232,UnizPortal,https://www.unizportal.com,0,no_data
233,Uoffer Global,https://www.uofferglobal.com,98,success
234,Vanguard Education Consultancy (VEC),www.global-vec.com,0,no_data
235,Vantage Basketball,https://www.vantagebasketball.com,0,no_data
236,Vermilion Group Ltd,https://www.vermiliongroup.com,16,success
237,Vietint,https://www.vietint.com,17,success
238,WEP,https://www.wep.com,0,no_data
239,Westminster International,https://www.westminsterinternational.com,17,success
240,Wiseway,www.wiseway.com.cn/english,35,success
