country,agent_name,detail,website,email,phone,address
China,Wiseway,Phone: +86-10-68946699 Email: international@wisewayglobal.com Website: www.wiseway.com.cn/english,www.wiseway.com.cn/english,international@wisewayglobal.com,+86-10-68946699,
Colombia,MAS Education,Phone: +57 314 2152727 Website: www.maseducation.org,www.maseducation.org,,+57 314 2152727,
Colombia,SI-UK,"Calle 106 # 54 - 78 Of. 702 Bogota, Colombia Phone: +57 1 7186226, + 57 318 3499429 Email: bogota@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,bogota@studyin-uk.com,+57 1 7186226,"Calle 106 # 54 - 78 Of. 702 Bogota, Colombia , + 57 318 3499429"
Colombia,Studies Planet,"Cra.15 No. 118-75. Oficina 103. Bogotá, Colombia Phone: (+57) 311 4753505, (+57) 300 5729164, (+57) 301 7707184 Email: colombia2@studiesplanet.com Website: www.studiesplanet.com",www.studiesplanet.com,colombia2@studiesplanet.com,+57) 311 4753505,"Cra.15 No. 118-75. Oficina 103. Bogotá, Colombia (, (+57) 300 5729164, (+57) 301 7707184"
Cyprus,SI-UK,"Athinon 30, office 101-B Agios Dometios, 2363 Nicosia, Cyprus Phone: +357 22778700 Email: nicosia@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,nicosia@studyin-uk.com,+357 22778700,"Athinon 30, office 101-B Agios Dometios, 2363 Nicosia, Cyprus"
Egypt,Global Study UK,Phone: +4402074864762 Email: app@globalstudyuk.com Website: www.globalstudyuk.com,www.globalstudyuk.com,app@globalstudyuk.com,+4402074864762,
Egypt,IDP,Website: www.idp.com/global,www.idp.com/global,,,
France,QS Student Apply,Phone: +44 (0) 207 284 7200 Website: www.qs.com,www.qs.com,,+44 (0) 207 284 7200,
France,Study Experience,Website: www.studyexperience.fr,www.studyexperience.fr,,,
Germany,QS Student Apply,Phone: +44 (0) 207 284 7200 Website: www.qs.com,www.qs.com,,+44 (0) 207 284 7200,
Ghana,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Ghana,SI-UK,"79 Gateway Road, CP Junction Kasoa, Accra, Ghana Phone: +233596041176 Email: accra@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,accra@studyin-uk.com,+233596041176,"79 Gateway Road, CP Junction Kasoa, Accra, Ghana"
Greece,HALO,Phone: +30 210 429 4344 Email: halok@otenet.gr Website: https://www.halo.edu.gr/,https://www.halo.edu.gr/,halok@otenet.gr,+30 210 429 4344,
Hong Kong,AAS Education,Email: enquiries@aas.com.hk Website: www.aas.com.hk,www.aas.com.hk,enquiries@aas.com.hk,,
Hong Kong,Aston Education,Phone: (852) 2866 9933 Website: www.aston.edu.hk,www.aston.edu.hk,,852) 2866 9933,(
Hong Kong,British United,Email: study@britishunited.net Website: www.BritishUnited.net,www.BritishUnited.net,study@britishunited.net,,
Hong Kong,Chamberlain,Phone: (852) 3426-8000 Email: enquiry@chamberlain-edu.com Website: www.chamberlain-edu.com,www.chamberlain-edu.com,enquiry@chamberlain-edu.com,852) 3426-8000,(
Hong Kong,GEA (Golden Education Alliance Limited),Phone: 852-2110-3835 Website: www.geaworld.org,www.geaworld.org,,852-2110-3835,
Hong Kong,GET Education Consultancy,Phone: (852) 2730 7311,,,852) 2730 7311,(
Hong Kong,GET Education Consultancy,Email: hongkong@get.com.hk Website: www.get.com.hk,www.get.com.hk,hongkong@get.com.hk,,
Hong Kong,H ong Kong Education Web,Phone: +852 2272 2800 Email: info@education.com.hk Website: www.education.com.hk,www.education.com.hk,info@education.com.hk,+852 2272 2800,
Hong Kong,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Hong Kong,LinkedU,Phone: +852 2157 3822 Email: enquiry@linkedu.hk Website: www.linkedu.hk,www.linkedu.hk,enquiry@linkedu.hk,+852 2157 3822,
Hong Kong,SI-UK,"Room 1309, Tai Yau Building, 181 Johnston Road, Wan Chai, Hong Kong Phone: +852 6513 5719, +85229678009 +85229678199 Email: i nfo@studyin-uk.com Website: hongkong@studyin-uk.com",,nfo@studyin-uk.com,+852 6513 5719,"Room 1309, Tai Yau Building, 181 Johnston Road, Wan Chai, Hong Kong , +85229678009 +85229678199 i hongkong@studyin-uk.com"
India,51Liucheng,Email: hezuo@51liucheng.com Website: www.lcig.io,www.lcig.io,hezuo@51liucheng.com,,
India,BitTRACK Consultants Pvt Ltd,Phone: +91 81402 66649 Email: supportpune@bittrack.om Website: www.bittrack.com,www.bittrack.com,supportpune@bittrack.om,+91 81402 66649,
India,Edroots,Phone: +91 484 294 1333 Email: info@edroots.in Website: www.edroots.com,www.edroots.com,info@edroots.in,+91 484 294 1333,
India,Eduabroad Consulting,Phone: +91 22 4002 1206 Email: pratibha.eduabroad@gmail.com Website: www.eduabroad.in,www.eduabroad.in,pratibha.eduabroad@gmail.com,+91 22 4002 1206,
India,Exnet,Phone: 0091-712-2225999 Email: exnetinternational@gmail.com,,exnetinternational@gmail.com,0091-712-2225999,
India,Foreign Study (Prem N Kapur),Phone: +91 98100 70867 Email: premnkapur@foreignstudy.co.in Website: www.foreign-study.com,www.foreign-study.com,premnkapur@foreignstudy.co.in,+91 98100 70867,
India,Gateway Abroad (Crizac),Phone: (033) 3544-1515 Email: info@crizac.com Website: https://www.crizac.com/,https://www.crizac.com/,info@crizac.com,033) 3544-1515,(
India,GeeBee,Phone: 7397410484 Email: chennai@geebeeworld.org Website: www.geebeeworld.com/,www.geebeeworld.com/,chennai@geebeeworld.org,7397410484,
India,Global Colliance,Phone: +917574033366 Email: inquiry@globalcolliance.com Website: www.globalcolliance.com,www.globalcolliance.com,inquiry@globalcolliance.com,+917574033366,
India,IAE,Phone: +81 (0)3 6871 9422 Email: info@iaeglobal.net Website: www.iaeglobal.net,www.iaeglobal.net,info@iaeglobal.net,+81 (0)3 6871 9422,
India,IDP,Website: www.idp.com/global,www.idp.com/global,,,
India,IPC India,Phone: +91-11-46784678 Email: delhi@educationoverseas.com Website: www.educationoverseas.com/index.php,www.educationoverseas.com/index.php,delhi@educationoverseas.com,+91-11-46784678,
India,KC Overseas Education Private Limited,Phone: +91 8530746800 Email: manoop@kcoverseas.com Website: www.studies-overseas.com,www.studies-overseas.com,manoop@kcoverseas.com,+91 8530746800,
India,Let's Talk,Phone: +91 33  40037887 Email: talk.lets2012@gmail.com Website: www.letstalkedu.in,www.letstalkedu.in,talk.lets2012@gmail.com,+91 33  40037887,
India,Meridean Overseas,Phone: 097733 59609 Email: tapplication02@meridean.org Website: www.meridean.org,www.meridean.org,tapplication02@meridean.org,097733 59609,
India,Oberoi's Education,Phone: +91-11-45304530 Email: info@educationlinkhouse.com Website: www.educationlinkhouse.com,www.educationlinkhouse.com,info@educationlinkhouse.com,+91-11-45304530,
India,QS Student Apply,Phone: +44 (0) 207 284 7200 Website: www.qs.com,www.qs.com,,+44 (0) 207 284 7200,
India,Santamonica,Phone: +91 9645222999 Email: brmchn@santamonicaedu.in Website: www.santamonicaedu.in,www.santamonicaedu.in,brmchn@santamonicaedu.in,+91 9645222999,
India,Shiksha,Phone: +91-7802953247 Website: www.shiksha.com,www.shiksha.com,,+91-7802953247,
India,SI-UK,"Phone: +91 1142028200, +91 7827800565 Email: delhi@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,delhi@studyin-uk.com,+91 1142028200,", +91 7827800565"
India,SI-UK,"Phone: +91 1146021091, +91 8130498884 +91 9315683896 Email: delhi.nehruplace@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,delhi.nehruplace@studyin-uk.com,+91 1146021091,", +91 8130498884 +91 9315683896"
India,SI-UK,"Phone: +91 7940391698, +91 9354937091 Email: ahmedabad@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,ahmedabad@studyin-uk.com,+91 7940391698,", +91 9354937091"
India,SI-UK,Email: amritsar@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,amritsar@studyin-uk.com,,
India,SI-UK,Email: bengaluru.jpnagar@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,bengaluru.jpnagar@studyin-uk.com,,
India,SI-UK,"Phone: +91 8041688282, +91 9986077782, +91 7676008282 Email: bengaluru@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,bengaluru@studyin-uk.com,+91 8041688282,", +91 9986077782, +91 7676008282"
India,SI-UK,Email: bhubaneshwar@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,bhubaneshwar@studyin-uk.com,,
India,SI-UK,Phone: +91 8287256724 Email: chandigarh@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,chandigarh@studyin-uk.com,+91 8287256724,
India,SI-UK,"Phone: +91 4445108282, +91 9381708282 Email: chennai@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,chennai@studyin-uk.com,+91 4445108282,", +91 9381708282"
India,SI-UK,"Phone: +91 9972484782, +91 4224962282 Email: coimbatore@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,coimbatore@studyin-uk.com,+91 9972484782,", +91 4224962282"
India,SI-UK,Phone: +91 8130498881 Email: gurugram@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,gurugram@studyin-uk.com,+91 8130498881,
India,SI-UK,"Phone: +91 4040157110, +91 7827800569 Email: hyderabad@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,hyderabad@studyin-uk.com,+91 4040157110,", +91 7827800569"
India,SI-UK,"Phone: +91 7314030677, +91 8368662790 Email: indore@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,indore@studyin-uk.com,+91 7314030677,", +91 8368662790"
India,SI-UK,"Phone: +91 1414011629, +91 8882912263, +91 7683064228 Email: jaipur@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,jaipur@studyin-uk.com,+91 1414011629,", +91 8882912263, +91 7683064228"
India,SI-UK,Phone: +91 9310404716 Email: kochi@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,kochi@studyin-uk.com,+91 9310404716,
India,SI-UK,"Phone: +91 9310404714, +91 9147104214 Email: kolkata@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,kolkata@studyin-uk.com,+91 9310404714,", +91 9147104214"
India,SI-UK,Phone: +91 9354844772 Email: kozhikode@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,kozhikode@studyin-uk.com,+91 9354844772,
India,SI-UK,Phone: +91 8882914694 Email: lucknow@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,lucknow@studyin-uk.com,+91 8882914694,
India,SI-UK,Phone: +91 9041454800 Email: ludhiana@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,ludhiana@studyin-uk.com,+91 9041454800,
India,SI-UK,"Phone: +91 9318490733, +91 2247501768 Email: mumbai@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,mumbai@studyin-uk.com,+91 9318490733,", +91 2247501768"
India,SI-UK,"Phone: +91 2249700446, +91 9987870084 Email: mumbai@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,mumbai@studyin-uk.com,+91 2249700446,", +91 9987870084"
India,SI-UK,"Phone: +91 7304687305, +91 7400020527 Email: mumbai@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,mumbai@studyin-uk.com,+91 7304687305,", +91 7400020527"
India,SI-UK,Phone: +91 9986077782 Email: mysuru@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,mysuru@studyin-uk.com,+91 9986077782,
India,SI-UK,"Phone: +91 7123583079, +91 9267927292 Email: nagpur@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,nagpur@studyin-uk.com,+91 7123583079,", +91 9267927292"
India,SI-UK,Email: noida@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,noida@studyin-uk.com,,
India,SI-UK,"Phone: +91 2048611079, +91 9310404722, +91 9318490737 Email: pune@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,pune@studyin-uk.com,+91 2048611079,", +91 9310404722, +91 9318490737"
India,SI-UK,Email: delhi.rajourigarden@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,delhi.rajourigarden@studyin-uk.com,,
India,SI-UK,Phone: +91 2654612070 Email: vadodara@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,vadodara@studyin-uk.com,+91 2654612070,
India,SI-UK,Phone: +91 8977522961 Email: vijayawada@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,vijayawada@studyin-uk.com,+91 8977522961,
India,The Combine Company,Phone: +91 98101 11169 Email: info@combineco.com Website: www.combineco.com,www.combineco.com,info@combineco.com,+91 98101 11169,
Indonesia,Educulture Network Indonesia,Email: educulturesby@yahoo.co.uk Website: www.educulturenetworkindonesia.com,www.educulturenetworkindonesia.com,educulturesby@yahoo.co.uk,,
Indonesia,IAE,Phone: +81 (0)3 6871 9422 Email: info@iaeglobal.net Website: www.iaeglobal.net,www.iaeglobal.net,info@iaeglobal.net,+81 (0)3 6871 9422,
Indonesia,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Indonesia,SI-UK,"Suite H, 5th Floor, Kensington Office Tower Kelapa Gading Jakarta, Indonesia Phone: +62 838 11141214 Email: jakarta@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,jakarta@studyin-uk.com,+62 838 11141214,"Suite H, 5th Floor, Kensington Office Tower Kelapa Gading Jakarta, Indonesia"
Indonesia,SI-UK,Phone: +62 81292339008 Email: jakarta@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,jakarta@studyin-uk.com,+62 81292339008,
Indonesia,SI-UK,Phone: +62 822 4555 5909 Email: surabaya@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,surabaya@studyin-uk.com,+62 822 4555 5909,
Indonesia,SUN Education Group,Phone: 082133343536 Email: info@suneducationgroup.com Website: www.suneducationgroup.com,www.suneducationgroup.com,info@suneducationgroup.com,082133343536,
Iran,IDP,Phone: +98 9821-75292 (Ext 1) Website: www.idp.com/global,www.idp.com/global,,+98 9821-75292,(Ext 1)
Ireland,JT Education Limited,Website: www.jteducation.com,www.jteducation.com,,,
Italy,SI-UK,Via dell’architettura 8 Rome 00144 Phone: +39 339706 6538 Email: rome@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,rome@studyin-uk.com,+39 339706 6538,Via dell’architettura 8 Rome 00144
Japan,BEO,Phone: +81 (0)3-6427-9605 Email: study@beo.jp Website: www.beo.jp,www.beo.jp,study@beo.jp,+81 (0)3-6427-9605,
Japan,BEO,Phone: +81 (0)6-4256-7161 Email: study@beo.jp Website: www.beo.jp,www.beo.jp,study@beo.jp,+81 (0)6-4256-7161,
Japan,And Vision,Phone: +81-3-5577-4500 Email: info@andvision.net Website: www.andvision.net,www.andvision.net,info@andvision.net,+81-3-5577-4500,
Japan,IAE,Phone: +81 (0)3 6871 9422 Email: info@iaeglobal.net Website: www.iaeglobal.net,www.iaeglobal.net,info@iaeglobal.net,+81 (0)3 6871 9422,
Japan,SI-UK,"3rd Floor Takagi Bldg, 2-15-14, Kamiosaki, Shinagawa-ku, Tokyo 141-0021, Japan Phone: +81 3 5272 9143 Email: tokyo@ukeducation.jp Website: www.studyin-uk.com",www.studyin-uk.com,tokyo@ukeducation.jp,+81 3 5272 9143,"3rd Floor Takagi Bldg, 2-15-14, Kamiosaki, Shinagawa-ku, Tokyo 141-0021, Japan"
Japan,SI-UK,Phone: +81 6 7878 5681 Email: osaka@ukeducation.jp Website: www.studyin-uk.com,www.studyin-uk.com,osaka@ukeducation.jp,+81 6 7878 5681,
Jordan,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Kazakhstan,SI-UK,"Abay Avenue 130, Almaty 050046 Email: almaty@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,almaty@studyin-uk.com,,"Abay Avenue 130, Almaty 050046"
Kenya,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Kenya,SI-UK,Phone: +254 755688242/47/53 Email: nairobi@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,nairobi@studyin-uk.com,+254 755688242,/47/53
Kenya,SI-UK,Phone: +254 780 450 642 Email: mombasa@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,mombasa@studyin-uk.com,+254 780 450 642,
Kosovo,SI-UK,"Sheshi Zahir Pajaziti, Kati 1, Nr. 5 Pristina, Kosova Phone: +38348441246 Email: pristina@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,pristina@studyin-uk.com,+38348441246,"Sheshi Zahir Pajaziti, Kati 1, Nr. 5 Pristina, Kosova"
Kuwait,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Laos,SI-UK,"Iconic Building 2nd Floor, Phonxay Village, Saysettha District, Sikhottabong District, Vientiane Phone: +85620 59514229 WhatsApp: +85620 59829329 Email: vientiane@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,vientiane@studyin-uk.com,+85620 59514229,"Iconic Building 2nd Floor, Phonxay Village, Saysettha District, Sikhottabong District, Vientiane WhatsApp: +85620 59829329"
Lebanon,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Lithuania,Kalba,Phone: (8-610) 11009 Email: info@kalba.lt Website: https://kalba.lt/en/,https://kalba.lt/en/,info@kalba.lt,8-610) 11009,(
Lithuania,Study Plan,Phone: +370 600 543 50 Email: admin@studyplan.lt Website: www.studyplan.lt/en,www.studyplan.lt/en,admin@studyplan.lt,+370 600 543 50,
Malaysia,AUG Student Services,Phone: +60 3 5634 3767 Email: malaysia@augstudy.com Website: www.augstudy.com/malaysia,www.augstudy.com/malaysia,malaysia@augstudy.com,+60 3 5634 3767,
Malaysia,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Malaysia,Malaysian British Educational Cooperation Services (MABECS),Phone: +60 3-7956 7655 Website: www.mabecs.com,www.mabecs.com,,+60 3-7956 7655,
Malaysia,QS Student Apply,Phone: +44 (0) 207 284 7200 Website: www.qs.com,www.qs.com,,+44 (0) 207 284 7200,
Malaysia,SI-UK,"Unit 43-G, Block D, Zenith Corporate Park Jalan SS7/26, Kelana Jaya, Petaling Jaya Selangor, Malaysia Phone: +60378861936 Email: malaysia@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,malaysia@studyin-uk.com,+60378861936,"Unit 43-G, Block D, Zenith Corporate Park Jalan SS7/26, Kelana Jaya, Petaling Jaya Selangor, Malaysia"
Malaysia,Taylor's Malaysia Sdn Bhd,Phone: 603-5629 5000 Email: applications@taylors.edu.my Website www.taylors.edu.my,www.taylors.edu.my,applications@taylors.edu.my,603-5629 5000,Website
Malaysia,TedVisory (Previously GEN),Phone: +60 1-800-22-6628 Email: info@tedvisory.com Website: www.tedvisory.com,www.tedvisory.com,info@tedvisory.com,+60 1-800-22-6628,
Mauritius,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Mexico,Anglo Latino Education Partnership ( ALEP ),"Anillo Vial II Junipero Serra 2450 Valle de Juriquilla II CP 76230, Santiago de Querétaro, Mexico Phone: 442 260 9090 Website: www.anglolatinoedu.com",www.anglolatinoedu.com,,442 260 9090,"Anillo Vial II Junipero Serra 2450 Valle de Juriquilla II CP 76230, Santiago de Querétaro, Mexico"
Mexico,Inova Education,Phone: +52 (55) 2539 4499 Web: www.inovaeducation.com,www.inovaeducation.com,,+52 (55) 2539 4499,Web:
Mexico,LoveUK Mexico,Phone: +52 56 3951 5884 Email: info@loveuk.com.mx Website: www.loveuk.com.mx,www.loveuk.com.mx,info@loveuk.com.mx,+52 56 3951 5884,
Mexico,Across the Pond,Email: info@studyacrossthepond.com Website: www.studyacrossthepond.com,www.studyacrossthepond.com,info@studyacrossthepond.com,,
Mexico,Studies Planet,"Av. Los Insurgentes Sur 1458 Ciudad de Mexico, Mexico WhatsApp: (+52) 55 3562 7881 Email: mexico@studiesplanet.com",,mexico@studiesplanet.com,+52) 55 3562 7881,"Av. Los Insurgentes Sur 1458 Ciudad de Mexico, Mexico WhatsApp: ("
